# Error table with no prior information for ACF noise level 0.010 and radar frequency 2.33e+08.
# 
# The first six columns are values of the plasma parameters, and the last four
# columns are the relative errors in four-parameter (Ne, Ti, Te/Ti, Vi) fits.
# 
# For details, see Vallinkoski et al. (1988), https://doi.org/10.1016/0021-9169(88)90106-7
# and Appendix B of Lehtinen (2014), http://urn.fi/urn:isbn:9789526205854
# 
# Ilkka Virtanen (ilkka.i.virtanen@oulu.fi), 2022
# 
#Ne [1/m3]   Ti [K]   Te/Ti   Coll [1/s]   Vi [m/s]   [O+]   Err(Ne/N0)   Err(Ti/T0)   Err(Te/Ti)   Err(Vi/Vi0)
Ne   Ti    Te/Ti   Coll   Vi    [O+]   Err(Ne/N0)   Err(Ti/T0)   Err(Te/Ti)   Err(Vi/Vi0)
    1e+10      100    1.0             0      -1000    1.0         0.03         0.05         0.07          5.77
    1e+10      100    1.0             0          0    0.0         0.03         0.04         0.06          3.55
    1e+10      100    1.0             0          0    0.5         0.04         0.05         0.07          5.10
    1e+10      100    1.0             0          0    1.0         0.03         0.05         0.07          5.77
    1e+10      100    1.0             0       1000    0.0         0.03         0.04         0.06          3.55
    1e+10      100    1.0             0       1000    0.5         0.04         0.05         0.07          5.10
    1e+10      100    1.0             0       1000    1.0         0.03         0.05         0.07          5.77
    1e+10      100    1.0             0       2000    0.0         0.03         0.04         0.06          3.55
    1e+10      100    1.0             0       2000    0.5         0.04         0.05         0.07          5.10
    1e+10      100    1.0             0       2000    1.0         0.03         0.05         0.07          5.77
    1e+10      100    1.0           500      -2000    0.0         0.04         0.06         0.08          4.08
    1e+10      100    1.0           500      -2000    0.5         0.05         0.07         0.10          5.57
    1e+10      100    1.0           500      -2000    1.0         0.04         0.06         0.09          6.47
    1e+10      100    1.0           500      -1000    0.0         0.04         0.06         0.08          4.08
    1e+10      100    1.0           500      -1000    0.5         0.05         0.07         0.10          5.57
    1e+10      100    1.0           500      -1000    1.0         0.04         0.06         0.09          6.47
    1e+10      100    1.0           500          0    0.0         0.04         0.06         0.08          4.08
    1e+10      100    1.0           500          0    0.5         0.05         0.07         0.10          5.57
    1e+10      100    1.0           500          0    1.0         0.04         0.06         0.09          6.47
    1e+10      100    1.0           500       1000    0.0         0.04         0.06         0.08          4.08
    1e+10      100    1.0           500       1000    0.5         0.05         0.07         0.10          5.57
    1e+10      100    1.0           500       1000    1.0         0.04         0.06         0.09          6.47
    1e+10      100    1.0           500       2000    0.0         0.04         0.06         0.08          4.08
    1e+10      100    1.0           500       2000    0.5         0.05         0.07         0.10          5.57
    1e+10      100    1.0           500       2000    1.0         0.04         0.06         0.09          6.47
    1e+10      100    1.0          3000      -2000    0.0         0.22         0.30         0.47          2.57
    1e+10      100    1.0          3000      -2000    0.5         0.18         0.25         0.38          3.67
    1e+10      100    1.0          3000      -2000    1.0         0.15         0.22         0.32          5.30
    1e+10      100    1.0          3000      -1000    0.0         0.22         0.30         0.47          2.57
    1e+10      100    1.0          3000      -1000    0.5         0.18         0.25         0.38          3.67
    1e+10      100    1.0          3000      -1000    1.0         0.15         0.22         0.32          5.30
    1e+10      100    1.0          3000          0    0.0         0.22         0.30         0.47          2.57
    1e+10      100    1.0          3000          0    0.5         0.18         0.25         0.38          3.67
    1e+10      100    1.0          3000          0    1.0         0.15         0.22         0.32          5.30
    1e+10      100    1.0          3000       1000    0.0         0.22         0.30         0.47          2.57
    1e+10      100    1.0          3000       1000    0.5         0.18         0.25         0.38          3.67
    1e+10      100    1.0          3000       1000    1.0         0.15         0.22         0.32          5.30
    1e+10      100    1.0          3000       2000    0.0         0.22         0.30         0.47          2.57
    1e+10      100    1.0          3000       2000    0.5         0.18         0.25         0.38          3.67
    1e+10      100    1.0          3000       2000    1.0         0.15         0.22         0.32          5.30
    1e+10      100    3.0             0      -2000    0.0         0.04         0.04         0.05          3.59
    1e+10      100    3.0             0      -2000    0.5         0.05         0.05         0.07          6.20
    1e+10      100    3.0             0      -2000    1.0         0.04         0.04         0.06          5.63
    1e+10      100    3.0             0      -1000    0.0         0.04         0.04         0.05          3.59
    1e+10      100    3.0             0      -1000    0.5         0.05         0.05         0.07          6.20
    1e+10      100    3.0             0      -1000    1.0         0.04         0.04         0.06          5.63
    1e+10      100    3.0             0          0    0.0         0.04         0.04         0.05          3.59
    1e+10      100    3.0             0          0    0.5         0.05         0.05         0.07          6.20
    1e+10      100    3.0             0          0    1.0         0.04         0.04         0.06          5.63
    1e+10      100    3.0             0       1000    0.0         0.04         0.04         0.05          3.59
    1e+10      100    3.0             0       1000    0.5         0.05         0.05         0.07          6.20
    1e+10      100    3.0             0       1000    1.0         0.04         0.04         0.06          5.63
    1e+10      100    3.0             0       2000    0.0         0.04         0.04         0.05          3.59
    1e+10      100    3.0             0       2000    0.5         0.05         0.05         0.07          6.20
    1e+10      100    3.0             0       2000    1.0         0.04         0.04         0.06          5.63
    1e+10      100    3.0           500      -2000    0.0         0.06         0.07         0.08          5.89
    1e+10      100    3.0           500      -2000    0.5         0.06         0.08         0.09          8.71
    1e+10      100    3.0           500      -2000    1.0         0.06         0.07         0.08          8.43
    1e+10      100    3.0           500      -1000    0.0         0.06         0.07         0.08          5.89
    1e+10      100    3.0           500      -1000    0.5         0.06         0.08         0.09          8.71
    1e+10      100    3.0           500      -1000    1.0         0.06         0.07         0.08          8.43
    1e+10      100    3.0           500          0    0.0         0.06         0.07         0.08          5.89
    1e+10      100    3.0           500          0    0.5         0.06         0.08         0.09          8.71
    1e+10      100    3.0           500          0    1.0         0.06         0.07         0.08          8.43
    1e+10      100    3.0           500       1000    0.0         0.06         0.07         0.08          5.89
    1e+10      100    3.0           500       1000    0.5         0.06         0.08         0.09          8.71
    1e+10      100    3.0           500       1000    1.0         0.06         0.07         0.08          8.43
    1e+10      100    3.0           500       2000    0.0         0.06         0.07         0.08          5.89
    1e+10      100    3.0           500       2000    0.5         0.06         0.08         0.09          8.71
    1e+10      100    3.0           500       2000    1.0         0.06         0.07         0.08          8.43
    1e+10      100    3.0          3000      -2000    0.0         0.28         0.37         0.41         12.10
    1e+10      100    3.0          3000      -2000    0.5         0.22         0.30         0.32         16.56
    1e+10      100    3.0          3000      -2000    1.0         0.20         0.27         0.30         19.25
    1e+10      100    3.0          3000      -1000    0.0         0.28         0.37         0.41         12.10
    1e+10      100    3.0          3000      -1000    0.5         0.22         0.30         0.32         16.56
    1e+10      100    3.0          3000      -1000    1.0         0.20         0.27         0.30         19.25
    1e+10      100    3.0          3000          0    0.0         0.28         0.37         0.41         12.10
    1e+10      100    3.0          3000          0    0.5         0.22         0.30         0.32         16.56
    1e+10      100    3.0          3000          0    1.0         0.20         0.27         0.30         19.25
    1e+10      100    3.0          3000       1000    0.0         0.28         0.37         0.41         12.10
    1e+10      100    3.0          3000       1000    0.5         0.22         0.30         0.32         16.56
    1e+10      100    3.0          3000       1000    1.0         0.20         0.27         0.30         19.25
    1e+10      100    3.0          3000       2000    0.0         0.28         0.37         0.41         12.10
    1e+10      100    3.0          3000       2000    0.5         0.22         0.30         0.32         16.56
    1e+10      100    3.0          3000       2000    1.0         0.20         0.27         0.30         19.25
    1e+10      600    0.5             0      -2000    0.0         0.03         0.04         0.08          6.82
    1e+10      600    0.5             0      -2000    0.5         0.03         0.06         0.10          9.09
    1e+10      600    0.5             0      -2000    1.0         0.03         0.05         0.09         11.07
    1e+10      600    0.5             0      -1000    0.0         0.03         0.04         0.08          6.82
    1e+10      600    0.5             0      -1000    0.5         0.03         0.06         0.10          9.09
    1e+10      600    0.5             0      -1000    1.0         0.03         0.05         0.09         11.07
    1e+10      600    0.5             0          0    0.0         0.03         0.04         0.08          6.82
    1e+10      600    0.5             0          0    0.5         0.03         0.06         0.10          9.09
    1e+10      600    0.5             0          0    1.0         0.03         0.05         0.09         11.07
    1e+10      600    0.5             0       1000    0.0         0.03         0.04         0.08          6.82
    1e+10      600    0.5             0       1000    0.5         0.03         0.06         0.10          9.09
    1e+10      600    0.5             0       1000    1.0         0.03         0.05         0.09         11.07
    1e+10      600    0.5             0       2000    0.0         0.03         0.04         0.08          6.82
    1e+10      600    0.5             0       2000    0.5         0.03         0.06         0.10          9.09
    1e+10      600    0.5             0       2000    1.0         0.03         0.05         0.09         11.07
    1e+10      600    0.5           500      -2000    0.0         0.03         0.05         0.09          6.81
    1e+10      600    0.5           500      -2000    0.5         0.04         0.06         0.11          9.00
    1e+10      600    0.5           500      -2000    1.0         0.03         0.06         0.10         11.09
    1e+10      600    0.5           500      -1000    0.0         0.03         0.05         0.09          6.81
    1e+10      600    0.5           500      -1000    0.5         0.04         0.06         0.11          9.00
    1e+10      600    0.5           500      -1000    1.0         0.03         0.06         0.10         11.09
    1e+10      600    0.5           500          0    0.0         0.03         0.05         0.09          6.81
    1e+10      600    0.5           500          0    0.5         0.04         0.06         0.11          9.00
    1e+10      600    0.5           500          0    1.0         0.03         0.06         0.10         11.08
    1e+10      600    0.5           500       1000    0.0         0.03         0.05         0.09          6.81
    1e+10      600    0.5           500       1000    0.5         0.04         0.06         0.11          9.00
    1e+10      600    0.5           500       1000    1.0         0.03         0.06         0.10         11.09
    1e+10      600    0.5           500       2000    0.0         0.03         0.05         0.09          6.81
    1e+10      600    0.5           500       2000    0.5         0.04         0.06         0.11          9.00
    1e+10      600    0.5           500       2000    1.0         0.03         0.06         0.10         11.09
    1e+10      600    0.5          3000      -2000    0.0         0.06         0.10         0.20          5.51
    1e+10      600    0.5          3000      -2000    0.5         0.07         0.11         0.21          7.38
    1e+10      600    0.5          3000      -2000    1.0         0.06         0.10         0.19          9.83
    1e+10      600    0.5          3000      -1000    0.0         0.06         0.10         0.20          5.51
    1e+10      600    0.5          3000      -1000    0.5         0.07         0.11         0.21          7.38
    1e+10      600    0.5          3000      -1000    1.0         0.06         0.10         0.19          9.83
    1e+10      600    0.5          3000          0    0.0         0.06         0.10         0.20          5.51
    1e+10      600    0.5          3000          0    0.5         0.07         0.11         0.21          7.38
    1e+10      600    0.5          3000          0    1.0         0.06         0.10         0.19          9.83
    1e+10      600    0.5          3000       1000    0.0         0.06         0.10         0.20          5.51
    1e+10      600    0.5          3000       1000    0.5         0.07         0.11         0.21          7.38
    1e+10      600    0.5          3000       1000    1.0         0.06         0.10         0.19          9.83
    1e+10      600    0.5          3000       2000    0.0         0.06         0.10         0.20          5.51
    1e+10      600    0.5          3000       2000    0.5         0.07         0.11         0.21          7.38
    1e+10      600    0.5          3000       2000    1.0         0.06         0.10         0.19          9.83
    1e+10      600    1.0             0      -2000    0.0         0.03         0.04         0.06          9.06
    1e+10      600    1.0             0      -2000    0.5         0.04         0.06         0.08         12.99
    1e+10      600    1.0             0      -2000    1.0         0.04         0.05         0.07         14.73
    1e+10      600    1.0             0      -1000    0.0         0.03         0.04         0.06          9.06
    1e+10      600    1.0             0      -1000    0.5         0.04         0.06         0.08         12.99
    1e+10      600    1.0             0      -1000    1.0         0.04         0.05         0.07         14.73
    1e+10      600    1.0             0          0    0.0         0.03         0.04         0.06          9.06
    1e+10      600    1.0             0          0    0.5         0.04         0.06         0.08         12.99
    1e+10      600    1.0             0          0    1.0         0.04         0.05         0.07         14.73
    1e+10      600    1.0             0       1000    0.0         0.03         0.04         0.06          9.06
    1e+10      600    1.0             0       1000    0.5         0.04         0.06         0.08         12.99
    1e+10      600    1.0             0       1000    1.0         0.04         0.05         0.07         14.73
    1e+10      600    1.0             0       2000    0.0         0.03         0.04         0.06          9.06
    1e+10      600    1.0             0       2000    0.5         0.04         0.06         0.08         12.99
    1e+10      600    1.0             0       2000    1.0         0.04         0.05         0.07         14.73
    1e+10      600    1.0           500      -2000    0.0         0.03         0.05         0.07          9.74
    1e+10      600    1.0           500      -2000    0.5         0.04         0.06         0.09         13.59
    1e+10      600    1.0           500      -2000    1.0         0.04         0.06         0.08         15.55
    1e+10      600    1.0           500      -1000    0.0         0.03         0.05         0.07          9.74
    1e+10      600    1.0           500      -1000    0.5         0.04         0.06         0.09         13.59
    1e+10      600    1.0           500      -1000    1.0         0.04         0.06         0.08         15.55
    1e+10      600    1.0           500          0    0.0         0.03         0.05         0.07          9.74
    1e+10      600    1.0           500          0    0.5         0.04         0.06         0.09         13.59
    1e+10      600    1.0           500          0    1.0         0.04         0.06         0.08         15.55
    1e+10      600    1.0           500       1000    0.0         0.03         0.05         0.07          9.74
    1e+10      600    1.0           500       1000    0.5         0.04         0.06         0.09         13.59
    1e+10      600    1.0           500       1000    1.0         0.04         0.06         0.08         15.55
    1e+10      600    1.0           500       2000    0.0         0.03         0.05         0.07          9.74
    1e+10      600    1.0           500       2000    0.5         0.04         0.06         0.09         13.59
    1e+10      600    1.0           500       2000    1.0         0.04         0.06         0.08         15.55
    1e+10      600    1.0          3000      -2000    0.0         0.07         0.11         0.15         10.19
    1e+10      600    1.0          3000      -2000    0.5         0.07         0.12         0.16         13.77
    1e+10      600    1.0          3000      -2000    1.0         0.06         0.10         0.14         17.06
    1e+10      600    1.0          3000      -1000    0.0         0.07         0.11         0.15         10.19
    1e+10      600    1.0          3000      -1000    0.5         0.07         0.12         0.16         13.77
    1e+10      600    1.0          3000      -1000    1.0         0.06         0.10         0.14         17.06
    1e+10      600    1.0          3000          0    0.0         0.07         0.11         0.15         10.19
    1e+10      600    1.0          3000          0    0.5         0.07         0.12         0.16         13.77
    1e+10      600    1.0          3000          0    1.0         0.06         0.10         0.14         17.06
    1e+10      600    1.0          3000       1000    0.0         0.07         0.11         0.15         10.19
    1e+10      600    1.0          3000       1000    0.5         0.07         0.12         0.16         13.77
    1e+10      600    1.0          3000       1000    1.0         0.06         0.10         0.14         17.06
    1e+10      600    1.0          3000       2000    0.0         0.07         0.11         0.15         10.19
    1e+10      600    1.0          3000       2000    0.5         0.07         0.12         0.16         13.77
    1e+10      600    1.0          3000       2000    1.0         0.06         0.10         0.14         17.06
    1e+10      600    3.0             0      -2000    0.0         0.04         0.04         0.06          9.91
    1e+10      600    3.0             0      -2000    0.5         0.05         0.06         0.08         17.43
    1e+10      600    3.0             0      -2000    1.0         0.04         0.05         0.07         16.06
    1e+10      600    3.0             0      -1000    0.0         0.04         0.04         0.06          9.91
    1e+10      600    3.0             0      -1000    0.5         0.05         0.06         0.08         17.43
    1e+10      600    3.0             0      -1000    1.0         0.04         0.05         0.07         16.06
    1e+10      600    3.0             0          0    0.0         0.04         0.04         0.06          9.91
    1e+10      600    3.0             0          0    0.5         0.05         0.06         0.08         17.43
    1e+10      600    3.0             0          0    1.0         0.04         0.05         0.07         16.06
    1e+10      600    3.0             0       1000    0.0         0.04         0.04         0.06          9.91
    1e+10      600    3.0             0       1000    0.5         0.05         0.06         0.08         17.43
    1e+10      600    3.0             0       1000    1.0         0.04         0.05         0.07         16.06
    1e+10      600    3.0             0       2000    0.0         0.04         0.04         0.06          9.91
    1e+10      600    3.0             0       2000    0.5         0.05         0.06         0.08         17.43
    1e+10      600    3.0             0       2000    1.0         0.04         0.05         0.07         16.06
    1e+10      600    3.0           500      -2000    0.0         0.05         0.05         0.07         12.54
    1e+10      600    3.0           500      -2000    0.5         0.06         0.07         0.09         20.16
    1e+10      600    3.0           500      -2000    1.0         0.05         0.06         0.08         19.14
    1e+10      600    3.0           500      -1000    0.0         0.05         0.05         0.07         12.54
    1e+10      600    3.0           500      -1000    0.5         0.06         0.07         0.09         20.16
    1e+10      600    3.0           500      -1000    1.0         0.05         0.06         0.08         19.14
    1e+10      600    3.0           500          0    0.0         0.05         0.05         0.07         12.54
    1e+10      600    3.0           500          0    0.5         0.06         0.07         0.09         20.16
    1e+10      600    3.0           500          0    1.0         0.05         0.06         0.08         19.14
    1e+10      600    3.0           500       1000    0.0         0.05         0.05         0.07         12.54
    1e+10      600    3.0           500       1000    0.5         0.06         0.07         0.09         20.16
    1e+10      600    3.0           500       1000    1.0         0.05         0.06         0.08         19.14
    1e+10      600    3.0           500       2000    0.0         0.05         0.05         0.07         12.54
    1e+10      600    3.0           500       2000    0.5         0.06         0.07         0.09         20.16
    1e+10      600    3.0           500       2000    1.0         0.05         0.06         0.08         19.14
    1e+10      600    3.0          3000      -2000    0.0         0.10         0.14         0.15         24.78
    1e+10      600    3.0          3000      -2000    0.5         0.10         0.14         0.16         33.24
    1e+10      600    3.0          3000      -2000    1.0         0.09         0.13         0.14         34.15
    1e+10      600    3.0          3000      -1000    0.0         0.10         0.14         0.15         24.78
    1e+10      600    3.0          3000      -1000    0.5         0.10         0.14         0.16         33.24
    1e+10      600    3.0          3000      -1000    1.0         0.09         0.13         0.14         34.15
    1e+10      600    3.0          3000          0    0.0         0.10         0.14         0.15         24.78
    1e+10      600    3.0          3000          0    0.5         0.10         0.14         0.16         33.24
    1e+10      600    3.0          3000          0    1.0         0.09         0.13         0.14         34.15
    1e+10      600    3.0          3000       1000    0.0         0.10         0.14         0.15         24.78
    1e+10      600    3.0          3000       1000    0.5         0.10         0.14         0.16         33.24
    1e+10      600    3.0          3000       1000    1.0         0.09         0.13         0.14         34.15
    1e+10      600    3.0          3000       2000    0.0         0.10         0.14         0.15         24.78
    1e+10      600    3.0          3000       2000    0.5         0.10         0.14         0.16         33.24
    1e+10      600    3.0          3000       2000    1.0         0.09         0.13         0.14         34.15
    1e+10     3000    0.5             0      -2000    0.0         0.03         0.05         0.09         16.19
    1e+10     3000    0.5             0      -2000    0.5         0.04         0.06         0.11         21.50
    1e+10     3000    0.5             0      -2000    1.0         0.04         0.06         0.11         26.28
    1e+10     3000    0.5             0      -1000    0.0         0.03         0.05         0.09         16.19
    1e+10     3000    0.5             0      -1000    0.5         0.04         0.06         0.11         21.50
    1e+10     3000    0.5             0      -1000    1.0         0.04         0.06         0.11         26.28
    1e+10     3000    0.5             0          0    0.0         0.03         0.05         0.09         16.19
    1e+10     3000    0.5             0          0    0.5         0.04         0.06         0.11         21.50
    1e+10     3000    0.5             0          0    1.0         0.04         0.06         0.11         26.28
    1e+10     3000    0.5             0       1000    0.0         0.03         0.05         0.09         16.19
    1e+10     3000    0.5             0       1000    0.5         0.04         0.06         0.11         21.50
    1e+10     3000    0.5             0       1000    1.0         0.04         0.06         0.11         26.28
    1e+10     3000    0.5             0       2000    0.0         0.03         0.05         0.09         16.19
    1e+10     3000    0.5             0       2000    0.5         0.04         0.06         0.11         21.50
    1e+10     3000    0.5             0       2000    1.0         0.04         0.06         0.11         26.28
    1e+10     3000    0.5           500      -2000    0.0         0.03         0.05         0.10         16.19
    1e+10     3000    0.5           500      -2000    0.5         0.04         0.07         0.12         21.40
    1e+10     3000    0.5           500      -2000    1.0         0.04         0.06         0.11         26.29
    1e+10     3000    0.5           500      -1000    0.0         0.03         0.05         0.10         16.19
    1e+10     3000    0.5           500      -1000    0.5         0.04         0.07         0.12         21.40
    1e+10     3000    0.5           500      -1000    1.0         0.04         0.06         0.11         26.29
    1e+10     3000    0.5           500          0    0.0         0.03         0.05         0.10         16.19
    1e+10     3000    0.5           500          0    0.5         0.04         0.07         0.12         21.40
    1e+10     3000    0.5           500          0    1.0         0.04         0.06         0.11         26.29
    1e+10     3000    0.5           500       1000    0.0         0.03         0.05         0.10         16.19
    1e+10     3000    0.5           500       1000    0.5         0.04         0.07         0.12         21.40
    1e+10     3000    0.5           500       1000    1.0         0.04         0.06         0.11         26.29
    1e+10     3000    0.5           500       2000    0.0         0.03         0.05         0.10         16.19
    1e+10     3000    0.5           500       2000    0.5         0.04         0.07         0.12         21.40
    1e+10     3000    0.5           500       2000    1.0         0.04         0.06         0.11         26.29
    1e+10     3000    0.5          3000      -2000    0.0         0.04         0.07         0.14         15.37
    1e+10     3000    0.5          3000      -2000    0.5         0.05         0.09         0.16         20.21
    1e+10     3000    0.5          3000      -2000    1.0         0.05         0.08         0.15         25.58
    1e+10     3000    0.5          3000      -1000    0.0         0.04         0.07         0.14         15.37
    1e+10     3000    0.5          3000      -1000    0.5         0.05         0.09         0.16         20.21
    1e+10     3000    0.5          3000      -1000    1.0         0.05         0.08         0.15         25.58
    1e+10     3000    0.5          3000          0    0.0         0.04         0.07         0.14         15.37
    1e+10     3000    0.5          3000          0    0.5         0.05         0.09         0.16         20.21
    1e+10     3000    0.5          3000          0    1.0         0.05         0.08         0.15         25.58
    1e+10     3000    0.5          3000       1000    0.0         0.04         0.07         0.14         15.37
    1e+10     3000    0.5          3000       1000    0.5         0.05         0.09         0.16         20.21
    1e+10     3000    0.5          3000       1000    1.0         0.05         0.08         0.15         25.58
    1e+10     3000    0.5          3000       2000    0.0         0.04         0.07         0.14         15.37
    1e+10     3000    0.5          3000       2000    0.5         0.05         0.09         0.16         20.21
    1e+10     3000    0.5          3000       2000    1.0         0.05         0.08         0.15         25.58
    1e+10     3000    1.0             0      -2000    0.0         0.04         0.05         0.08         23.48
    1e+10     3000    1.0             0      -2000    0.5         0.04         0.07         0.10         33.21
    1e+10     3000    1.0             0      -2000    1.0         0.04         0.06         0.09         38.14
    1e+10     3000    1.0             0      -1000    0.0         0.04         0.05         0.08         23.48
    1e+10     3000    1.0             0      -1000    0.5         0.04         0.07         0.10         33.21
    1e+10     3000    1.0             0      -1000    1.0         0.04         0.06         0.09         38.14
    1e+10     3000    1.0             0          0    0.0         0.04         0.05         0.08         23.48
    1e+10     3000    1.0             0          0    0.5         0.04         0.07         0.10         33.21
    1e+10     3000    1.0             0          0    1.0         0.04         0.06         0.09         38.14
    1e+10     3000    1.0             0       1000    0.0         0.04         0.05         0.08         23.48
    1e+10     3000    1.0             0       1000    0.5         0.04         0.07         0.10         33.21
    1e+10     3000    1.0             0       1000    1.0         0.04         0.06         0.09         38.14
    1e+10     3000    1.0             0       2000    0.0         0.04         0.05         0.08         23.48
    1e+10     3000    1.0             0       2000    0.5         0.04         0.07         0.10         33.21
    1e+10     3000    1.0             0       2000    1.0         0.04         0.06         0.09         38.14
    1e+10     3000    1.0           500      -2000    0.0         0.04         0.06         0.08         24.19
    1e+10     3000    1.0           500      -2000    0.5         0.04         0.08         0.10         33.80
    1e+10     3000    1.0           500      -2000    1.0         0.04         0.07         0.10         38.99
    1e+10     3000    1.0           500      -1000    0.0         0.04         0.06         0.08         24.19
    1e+10     3000    1.0           500      -1000    0.5         0.04         0.08         0.10         33.80
    1e+10     3000    1.0           500      -1000    1.0         0.04         0.07         0.10         38.99
    1e+10     3000    1.0           500          0    0.0         0.04         0.06         0.08         24.19
    1e+10     3000    1.0           500          0    0.5         0.04         0.08         0.10         33.80
    1e+10     3000    1.0           500          0    1.0         0.04         0.07         0.10         38.99
    1e+10     3000    1.0           500       1000    0.0         0.04         0.06         0.08         24.19
    1e+10     3000    1.0           500       1000    0.5         0.04         0.08         0.10         33.80
    1e+10     3000    1.0           500       1000    1.0         0.04         0.07         0.10         38.99
    1e+10     3000    1.0           500       2000    0.0         0.04         0.06         0.08         24.19
    1e+10     3000    1.0           500       2000    0.5         0.04         0.08         0.10         33.80
    1e+10     3000    1.0           500       2000    1.0         0.04         0.07         0.10         38.99
    1e+10     3000    1.0          3000      -2000    0.0         0.05         0.08         0.12         26.14
    1e+10     3000    1.0          3000      -2000    0.5         0.06         0.10         0.13         35.31
    1e+10     3000    1.0          3000      -2000    1.0         0.05         0.09         0.12         41.85
    1e+10     3000    1.0          3000      -1000    0.0         0.05         0.08         0.12         26.14
